,val,start,end
0,117.59,2003-12-09 00:00:00,2004-01-13 00:00:00
0,118.30333333333334,2003-12-24 07:00:00,2004-01-13 07:00:00
0,119.34099999999998,2003-12-15 23:00:00,2003-12-21 23:00:00
0,119.34099999999998,2004-01-06 01:00:00,2004-01-13 01:00:00
0,120.071,2004-01-14 06:00:00,2004-04-06 06:00:00
0,120.89545454545456,2004-01-20 17:00:00,2004-01-28 17:00:00
0,121.8946153846154,2004-01-20 23:00:00,2004-01-27 23:00:00
0,121.8946153846154,2004-02-03 03:00:00,2004-02-04 03:00:00
0,122.76571428571427,2004-02-18 04:00:00,2004-04-06 04:00:00
0,123.33333333333333,2004-02-23 23:00:00,2004-04-01 23:00:00
0,124.44,2004-02-26 07:00:00,2004-04-01 07:00:00
0,125.3075,2004-03-01 22:00:00,2004-03-02 22:00:00
0,125.3075,2004-03-05 02:00:00,2004-03-25 02:00:00
0,126.1275,2004-03-16 05:00:00,2004-03-25 05:00:00
0,125.43499999999999,2004-04-07 21:00:00,2004-06-29 21:00:00
0,126.47315789473686,2004-04-16 04:00:00,2004-04-20 04:00:00
0,126.47315789473686,2004-04-23 01:00:00,2004-06-28 01:00:00
0,127.16000000000001,2004-06-10 00:00:00,2004-06-28 00:00:00
0,128.1208333333333,2004-05-04 02:00:00,2004-06-08 02:00:00
0,128.1208333333333,2004-06-17 21:00:00,2004-06-20 21:00:00
0,128.92,2004-05-05 04:00:00,2004-05-10 04:00:00
0,128.92,2004-05-24 03:00:00,2004-06-06 03:00:00
0,129.7311111111111,2004-05-11 20:00:00,2004-05-26 20:00:00
0,130.5727272727273,2004-05-13 05:00:00,2004-05-18 05:00:00
0,130.5727272727273,2004-05-25 17:00:00,2004-05-26 17:00:00
0,128.49,2004-07-01 22:00:00,2004-09-21 22:00:00
0,129.11166666666668,2004-07-08 01:00:00,2004-09-22 01:00:00
0,130.18800000000002,2004-07-15 01:00:00,2004-09-22 01:00:00
0,130.73499999999999,2004-07-21 04:00:00,2004-09-21 04:00:00
0,132.7057142857143,2004-07-28 09:00:00,2004-09-21 09:00:00
0,133.70625,2004-08-02 09:00:00,2004-08-04 09:00:00
0,134.50421052631577,2004-08-09 21:00:00,2004-08-29 21:00:00
0,134.50421052631577,2004-09-07 04:00:00,2004-09-08 04:00:00
0,134.50421052631577,2004-09-12 21:00:00,2004-09-21 21:00:00
0,135.3090909090909,2004-09-01 23:00:00,2004-09-05 23:00:00
0,135.3090909090909,2004-09-13 22:00:00,2004-09-14 22:00:00
0,136.1175,2004-08-16 17:00:00,2004-08-24 17:00:00
0,137.23857142857142,2004-08-17 23:00:00,2004-08-23 23:00:00
0,132.565,2004-12-08 09:00:00,2004-12-14 09:00:00
0,134.45857142857142,2004-12-03 03:00:00,2004-12-07 03:00:00
0,138.41375,2004-09-22 06:00:00,2004-12-01 06:00:00
0,139.4,2004-09-22 21:00:00,2004-11-14 21:00:00
0,140.19,2004-11-22 17:00:00,2004-11-30 17:00:00
0,140.97400000000002,2004-09-27 03:00:00,2004-11-09 03:00:00
0,142.03499999999997,2004-10-05 02:00:00,2004-11-02 02:00:00
0,142.66333333333333,2004-10-05 23:00:00,2004-10-31 23:00:00
0,143.88090909090909,2004-10-06 22:00:00,2004-10-12 22:00:00
0,145.60666666666665,2004-10-14 03:00:00,2004-10-18 03:00:00
0,146.518,2004-10-21 17:00:00,2004-10-26 17:00:00
0,147.2625,2004-10-26 22:00:00,2004-10-26 22:00:00
0,133.09333333333333,2004-12-27 17:00:00,2005-03-09 17:00:00
0,136.07,2004-12-16 22:00:00,2004-12-22 22:00:00
0,136.07,2005-02-07 21:00:00,2005-03-09 21:00:00
0,137.01,2004-12-20 20:00:00,2004-12-21 20:00:00
0,137.01,2005-01-06 20:00:00,2005-02-07 20:00:00
0,137.88299999999998,2005-02-01 21:00:00,2005-02-05 21:00:00
0,138.70636363636362,2005-02-14 17:00:00,2005-03-09 17:00:00
0,139.82555555555552,2005-01-24 02:00:00,2005-01-30 02:00:00
0,142.2372727272727,2005-02-22 21:00:00,2005-03-09 21:00:00
0,144.1,2005-03-02 20:00:00,2005-03-09 20:00:00
0,135.81285714285715,2005-05-18 17:00:00,2005-05-22 17:00:00
0,135.81285714285715,2005-05-24 05:00:00,2005-06-01 05:00:00
0,137.1175,2005-05-12 22:00:00,2005-05-17 22:00:00
0,137.96166666666667,2005-05-02 00:00:00,2005-05-12 00:00:00
0,139.036,2005-05-04 22:00:00,2005-05-11 22:00:00
0,140.03181818181818,2005-04-13 22:00:00,2005-04-27 22:00:00
0,140.03181818181818,2005-05-05 22:00:00,2005-05-10 22:00:00
0,141.7,2005-04-12 17:00:00,2005-04-12 17:00:00
0,142.8275,2005-04-22 02:00:00,2005-04-27 02:00:00
0,144.027,2005-03-11 04:00:00,2005-04-10 04:00:00
0,145.74777777777774,2005-03-15 04:00:00,2005-03-23 04:00:00
0,145.74777777777774,2005-04-01 06:00:00,2005-04-07 06:00:00
0,147.26666666666665,2005-03-16 23:00:00,2005-03-21 23:00:00
